StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ProlificID,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_7,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_7,RNUM,University,Fact,MakeSense,Recap,CompCheck2,NonEnt_TG,Ent_TG,Q14,Q50,Competence_attn_chec,Puzzle_NonEnt,Puzzle_Ent,Jewish people tend to complain a lot.,Jewish people are often very rude.,"All things considered, Jewish people are untrustworthy.",Jewish people can be sneaky.,"When they feel slighted, Jewish people will be vengeful.",Jewish people tend to influence the media.,Jewish people tend to be good with money.,"When it comes to education, Jewish people tend to be overachievers.","On the whole, Jewish people are loyal to Israel.",SASS Warmth Score,SASS Competence Score,SASS Score,"In setting priorities, we must consider all groups",We should NOT push for group equality,Group equality should be our ideal,Superior groups should dominate inferior groups,SDO Score,Q138,Q139,Q140,Q141,Q142,Q143,RWA Score,Q160,Q161,Q162,Q163,Q164,Entitativity,Israel_Comfort,Israel_Exist,Israel_Defend,Israel_Influence,Israel_Media,Israel_Nazis,AZAs,"""When we think about the world, it comes down to the oppressor vs the oppressed.""",Political Ideology,Condition,Race_1,Latinx,party,party_4_TEXT,partycloser,Gender,Gender_4_TEXT,ASAB,Puzzle_NonEnt,Puzzle_Ent,Puzzle_All,NonEnt_TG,Ent_TG,TG_All,Christian,Fact,,,,,,9
12/22/24 16:20,12/22/24 16:32,0,*******,100,710,1,12/22/24 16:32,R_6Cly7w5nErpYS8Y,*******,*******,*******,*******,*******,*******,anonymous,EN,610312fb9269197fc881012d,1,,,,1,1,1,1,1,1,1,1,8824,University of Houston,I am currently getting my second degree in Engineering,1,,1,,0.2,1,,1,,3,1,3,2,2,3,0,4,3,5,11,12,23,4,2,1,1,8,3,8,1,1,5,6,24,4,5,2,6,6,23,1,1,1,2,2,3,10,6,6,Entitative,White/European,Yes,No preference,,Republican,Man,,Male,,3,3,,0.2,0.2,0,I am currently getting my second degree in Engineering,,,,,,7
12/22/24 16:35,12/22/24 16:44,0,*******,100,569,1,12/22/24 16:44,R_1n2H7THlVzN3TZs,*******,*******,*******,*******,*******,*******,anonymous,EN,6733a359e46aab187adae122,1,1,1,1,1,1,,,,,,,9854,UC Davis,I am an agnostic lesbian,1,,1,,0.8,1,,1,,3,1,2,1,1,1,4,4,4,4,10,12,22,2,2,4,2,10,3,3,1,1,3,3,14,4,3,5,3,3,18,5,5,5,5,4,5,29,6,1,Entitative,White/European,No,Democrat,,Democratic,Woman,,Female,,3,3,,0.8,0.8,0,I am an agnostic lesbian,,,,,,
12/22/24 16:36,12/22/24 16:46,0,*******,100,639,1,12/22/24 16:46,R_3owloTSlbSwVDzU,*******,*******,*******,*******,*******,*******,anonymous,EN,65d683cbfb200c80632a40fd,1,1,1,1,1,1,,,,,,,6372,University of Cincinnati,I went to Taiwan for an internship this past summer,1,,1,,0.8,1,,1,,3,1,0,0,1,1,1,3,4,4,4,11,15,1,1,1,1,4,3,5,1,1,4,4,18,5,6,4,5,5,25,2,3,3,4,2,5,19,5,3,Entitative,White/European,No,Democrat,,Democratic,Man,,Male,,3,3,,0.8,0.8,0,I went to Taiwan for an internship this past summer,,,,,,
12/22/24 16:51,12/22/24 17:00,0,*******,100,547,1,12/22/24 17:00,R_7AmqXmOydVshWud,*******,*******,*******,*******,*******,*******,anonymous,EN,65c10cd4e07aa75b58ca7900,1,1,1,1,1,1,,,,,,,2111,Empire State University ,I work full time in addition to attending school full time ,1,,1,,0.2,1,,1,,3,0,2,0,2,3,5,4,4,3,12,11,23,1,1,1,1,4,2,1,1,1,3,5,13,3,5,4,4,4,20,4,3,2,4,4,4,21,6,2,Entitative,Black/African,No,Democrat,,Democratic,Woman,,Female,,3,3,,0.2,0.2,0,I work full time in addition to attending school full time ,,,,,,
12/22/24 16:41,12/22/24 17:01,0,*******,100,1201,1,12/22/24 17:01,R_7S13QZ0WgfsCAtQ,*******,*******,*******,*******,*******,*******,anonymous,EN,66ea3f5c930156c8a173e1ee,1,1,1,1,1,1,,,,,,,6544,Catholic University of America,Wears hearing-aids,1,,1,,0.2,1,,1,,3,0,0,0,4,2,3,4,4,3,9,11,20,1,1,1,3,6,5,7,5,6,4,6,33,4,5,6,5,5,25,3,4,3,3,2,5,20,4,3,Entitative,Black/African,No,Independent,,Democratic,Man,,Male,,3,3,,0.2,0.2,0,Wears hearing-aids,,,,,,
12/22/24 16:54,12/22/24 17:01,0,*******,100,408,1,12/22/24 17:01,R_689ygKU6ByUXwGZ,*******,*******,*******,*******,*******,*******,anonymous,EN,66807151411ce02b4b7c8713,1,1,1,1,1,1,,,,,,,4363,simon fraser university,5'1'',1,,1,,0.6,1,,1,,4,2,2,2,2,2,3,3,3,2,13,8,21,1,3,3,3,10,5,5,7,3,5,5,30,3,5,5,5,4,22,2,3,3,3,3,3,17,4,3,Entitative,Asian,No,Democrat,,Democratic,Woman,,Female,,4,4,,0.6,0.6,0,5'1'',,,,,,
12/22/24 16:53,12/22/24 17:07,0,*******,100,887,1,12/22/24 17:07,R_11yg5z9n3w6XhXA,*******,*******,*******,*******,*******,*******,anonymous,EN,66b050c6869b077d3a65079d,1,1,1,1,1,1,,,,,,,6987,Snhu ,I love to paint and draw,1,,1,,0.6,1,,1,,3,1,0,1,0,2,2,3,3,3,6,9,15,1,1,3,2,7,3,6,6,7,4,6,32,6,4,4,4,5,23,2,4,2,2,2,2,14,4,5,Entitative,White/European,No,Independent,,Democratic,Woman,,Female,,3,3,,0.6,0.6,0,I love to paint and draw,,,,,,
12/22/24 17:02,12/22/24 17:12,0,*******,100,601,1,12/22/24 17:12,R_5IxRmQshHbtezGT,*******,*******,*******,*******,*******,*******,anonymous,EN,667a33fe45474e66b888347f,1,1,1,1,1,1,,,,,,,8142,molloy university,I am 4'10,1,,1,,0.6,1,,1,,3,2,1,1,1,1,3,4,3,3,9,10,19,1,1,1,2,5,6,6,6,5,7,6,36,7,7,4,6,6,30,2,3,2,3,3,4,17,5,5,Entitative,Asian,No,Republican,,Republican,Woman,,Female,,3,3,,0.6,0.6,0,I am 4'10,,,,,,
12/22/24 16:53,12/22/24 17:13,0,*******,100,1212,1,12/22/24 17:13,R_1sLexU6BGdNhTwd,*******,*******,*******,*******,*******,*******,anonymous,EN,6636db94fa3ed150c2d78447,1,1,1,1,1,1,,,,,,,1218,woodbury,I love being a woodworker,1,,1,,1,1,,1,,2,1,1,1,1,1,1,2,2,1,6,5,11,4,3,4,1,12,6,4,3,3,3,9,28,5,4,4,3,3,19,2,2,2,4,3,2,15,4,5,Entitative,White/European,No,Republican,,Republican,Man,,Male,,2,2,,1,1,0,I love being a woodworker,,,,,,
12/22/24 17:05,12/22/24 17:14,0,*******,100,568,1,12/22/24 17:14,R_1MnH2Rt9PkRldQJ,*******,*******,*******,*******,*******,*******,anonymous,EN,66eb3856611e00e94c9fb092,1,1,1,1,1,1,,,,,,,8938,Grantham,Im a lesbian,1,,1,,1,1,,1,,3,0,0,0,0,0,0,4,0,5,0,9,9,1,1,1,1,4,5,5,1,1,2,1,15,7,1,4,4,4,20,1,1,1,1,1,1,6,1,4,Entitative,White/European,No,Independent,,Democratic,Woman,,Female,,3,3,,1,1,0,Im a lesbian,,,,,,
